Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity
DIS,WALT DISNEY,Communication,Equity,"2,367,740,609.80",0.4,"2,367,740,609.80","21,263,948.00"
LIN,LINDE PLC,Materials,Equity,"2,340,783,132.66",0.4,"2,340,783,132.66","5,590,998.00"
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"2,336,544,894.87",0.4,"2,336,544,894.87","4,491,369.00"
ABT,ABBOTT LABORATORIES,Health Care,Equity,"2,303,597,355.12",0.39,"2,303,597,355.12","20,365,992.00"
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"2,301,643,666.01",0.39,"2,301,643,666.01","19,054,919.00"
ADBE,ADOBE INC,Information Technology,Equity,"2,298,452,201.04",0.39,"2,298,452,201.04","5,168,778.00"
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"2,197,201,066.00",0.37,"2,197,201,066.00","18,256,760.00"
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"2,182,963,034.32",0.37,"2,182,963,034.32","4,182,242.00"
GE,GE AEROSPACE,Industrials,Equity,"2,119,613,020.46",0.36,"2,119,613,020.46","12,708,274.00"
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"2,110,637,809.22",0.36,"2,110,637,809.22","3,685,931.00"
INTU,INTUIT INC,Information Technology,Equity,"2,068,526,742.00",0.35,"2,068,526,742.00","3,291,212.00"
CAT,CATERPILLAR INC,Industrials,Equity,"2,056,486,802.76",0.35,"2,056,486,802.76","5,669,001.00"
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"2,008,457,112.00",0.34,"2,008,457,112.00","10,711,200.00"
QCOM,QUALCOMM INC,Information Technology,Equity,"2,004,023,440.98",0.34,"2,004,023,440.98","13,045,329.00"
VZ,VERIZON COMMUNICATIONS INC,Communication,Equity,"1,976,676,987.18",0.34,"1,976,676,987.18","49,429,282.00"
AXP,AMERICAN EXPRESS,Financials,Equity,"1,939,390,578.45",0.33,"1,939,390,578.45","6,534,555.00"
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"1,930,539,212.04",0.33,"1,930,539,212.04","388,562.00"
